code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,avg_day_click,total_click,befor_modulopen_click,after_modulopen_click,resource_sum_click,oucontent_sum_click,url_sum_click,homepage_sum_click,subpage_sum_click,glossary_sum_click,forumng_sum_click,oucollaborate_sum_click,dataplus_sum_click,quiz_sum_click,ouelluminate_sum_click,sharedsubpage_sum_click,questionnaire_sum_click,page_sum_click,externalquiz_sum_click,ouwiki_sum_click,dualpane_sum_click,repeatactivity_sum_click,folder_sum_click,htmlactivity_sum_click,final_score,date_registration
AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,4,934,98,836,13,553,5,138,32,-1,193,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82.4,-159
AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,6,1435,215,1220,12,537,48,324,87,-1,417,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.4,-53
AAA,2013J,30268,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,12,281,102,179,4,66,4,59,22,-1,126,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59.21761364,-92
AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,8,2158,169,1989,19,836,90,432,144,1,634,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,76.3,-52
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,4,1034,295,739,45,494,14,204,79,4,194,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,-176
AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,9,2445,277,2168,11,900,45,512,91,4,875,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.9,-110
AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,5,1492,180,1312,8,915,24,320,98,-1,123,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.8,-67
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,5,1428,21,1407,16,508,56,295,120,-1,428,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72.5,-29
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,8,1894,6,1888,19,714,128,476,214,-1,333,2,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,71.2,-33
AAA,2013J,53025,M,North Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Pass,12,3158,176,2982,6,575,82,394,124,-1,1974,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,79,-179
AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,5,1319,139,1180,16,708,60,360,132,8,30,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,74,-103
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,6,1732,159,1573,6,811,78,488,110,-1,229,2,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,73.7,-47
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,4,1102,110,992,13,521,32,215,100,-1,218,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80.8,-59
AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,12,3388,251,3137,21,1520,5,513,61,-1,1255,1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,76.4,-68
AAA,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,10,2737,242,2495,8,1419,127,543,204,-1,411,-1,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,71.2,-67
AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,2,171,3,168,2,100,1,38,18,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.2,-180
AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,4,1053,95,958,12,610,25,254,56,2,91,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,53.5,-95
AAA,2013J,71361,M,Ireland,HE Qualification,90-100%,35-55,0,60,N,Pass,9,2327,204,2123,49,853,80,390,129,-1,822,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,79.7,-130
AAA,2013J,74372,M,East Anglian Region,A Level or Equivalent,10-20%,35-55,0,150,N,Fail,1,116,11,105,1,43,2,34,22,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32.8,-50
AAA,2013J,75091,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,11,2992,458,2534,42,1349,55,602,176,-1,756,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.8,-107
AAA,2013J,77367,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,3,680,67,613,7,252,28,248,68,-1,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.5,-27
AAA,2013J,91265,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,6,1494,76,1418,9,893,39,424,116,-1,5,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69,-31
AAA,2013J,94961,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,5,339,82,257,1,183,16,70,57,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.4,-170
AAA,2013J,98094,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,10,2839,477,2362,33,2069,18,486,189,-1,33,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60.6,-107
AAA,2013J,100893,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,3,744,27,717,6,228,22,161,67,-1,255,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68.7,-62
AAA,2013J,101781,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,15,4104,302,3802,20,2298,163,695,269,-1,642,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,71.6,-103
AAA,2013J,102806,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,7,1944,127,1817,16,864,1,563,83,-1,414,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,76,-107
AAA,2013J,102952,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,5,1150,31,1119,22,607,25,172,102,-1,217,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,77.1,-100
AAA,2013J,104476,M,Ireland,Post Graduate Qualification,90-100%,35-55,0,60,N,Pass,18,4777,544,4233,49,3122,139,813,286,-1,353,5,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,78.9,-109
AAA,2013J,106247,M,South Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn,3,465,0,465,16,230,3,117,39,-1,59,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.3,5
AAA,2013J,106577,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,3,733,149,584,15,389,-1,183,55,-1,91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,54.2,-107
AAA,2013J,110175,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,4,998,38,960,52,499,53,212,152,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.7,-110
AAA,2013J,111717,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,9,2343,252,2091,18,1341,59,489,160,1,259,2,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48.9,-43
AAA,2013J,113295,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,13,3553,3,3550,32,1383,116,979,221,-1,802,4,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,77.3,-26
AAA,2013J,114017,F,North Region,Post Graduate Qualification,90-100%,35-55,0,60,N,Pass,3,757,28,729,37,344,40,174,157,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72.3,-29
AAA,2013J,114999,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass,5,1358,142,1216,27,852,32,241,65,-1,129,2,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70.8,-68
AAA,2013J,116541,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass,8,1886,0,1886,4,1149,107,420,131,-1,72,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59.8,-68
AAA,2013J,116692,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,5,1108,325,783,8,606,49,315,112,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,74.2,-32
AAA,2013J,118983,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass,1,284,8,276,14,151,5,62,43,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,-99
AAA,2013J,123044,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,8,2041,3,2038,9,857,95,486,199,-1,390,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70.7,-82
AAA,2013J,127582,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,5,1321,32,1289,18,666,25,324,90,-1,198,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.4,-31
AAA,2013J,129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,7,1011,32,979,4,606,20,301,43,-1,30,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40.1,-197
AAA,2013J,132976,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,2,520,44,476,7,308,2,95,50,-1,51,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.3,-75
AAA,2013J,134143,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,10,2732,174,2558,28,2078,4,504,72,-1,18,4,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,83.8,-96
AAA,2013J,135335,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,Withdrawn,2,57,2,55,-1,33,-1,21,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,61.39428571,-29
AAA,2013J,135400,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn,3,287,0,287,3,149,12,61,41,-1,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17.4,-32
AAA,2013J,137873,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,21,5528,241,5287,27,1516,64,1042,197,-1,2676,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,81.7,-195
AAA,2013J,141355,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass,7,1823,48,1775,19,521,30,263,89,-1,894,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,-61
AAA,2013J,141377,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn,1,143,0,143,4,51,-1,33,27,2,25,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.5,-110
AAA,2013J,142326,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,9,2121,142,1979,14,934,104,502,170,-1,379,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75.3,-37
AAA,2013J,144801,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass,20,5645,155,5490,53,2005,137,1057,296,1,2092,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70.6,-67
AAA,2013J,145130,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,Pass,2,452,38,414,10,270,-1,94,29,-1,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,53.2,-36
AAA,2013J,146188,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail,2,597,50,547,13,314,5,142,49,-1,72,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59.21761364,-132
AAA,2013J,147756,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,3,611,89,522,10,284,5,187,39,-1,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,61.39428571,-92
AAA,2013J,147793,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn,2,155,19,136,1,45,-1,35,18,-1,56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.2,-138
AAA,2013J,148993,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,11,1864,257,1607,8,506,13,402,53,1,878,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36.4,-174
AAA,2013J,151358,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,Pass,1,270,0,270,6,183,5,34,39,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,49.6,-44
