Address,Latitude,Longitude
"39-41 Mustang Avenue, Canberra Airport ACT 2609",-35.2971385,149.1907036
"20 Parkersfarm Place, Casula NSW 2170",-33.9591795,150.8804785
"1 CRESSY RD, BOOLAROO NSW 2284",-32.9441034,151.6269334
"10 Langford Drive, MARSDEN PARK NSW 2765",-33.7222215,150.8402206
"444 West Botany Street, ROCKDALE NSW 2216",-33.9598966,151.1457439
"51 LAMBTON RD, WARATAH NSW 2298",-32.9068348,151.7195307
"1046 FOREST RD, LUGARNO NSW 2210",-33.977418,151.046953
"114 Boundary Road, PEAKHURST NSW 2210",-33.9632756,151.0680303
"61-63 Cowper Wharf Rd (Cnr Dowling St), Woolloomooloo NSW 2011",-33.8696011,151.2212265
"13-15 Doonside Rd, Doonside NSW 2767",-33.7654069,150.8696815
"6b 1-10 Amy Close, WYONG NSW 2259",-33.266263,151.4357984
"150 Pacific Hwy, TUGGERAH NSW 2259",-33.3004696,151.4206578
"47-49 NORTHCOTE ST, KURRI KURRI NSW 2327",-32.8111738,151.4793122
"607 Canterbury Road, Belmore NSW 2192",-33.921383,151.0958237
"36 WINE COUNTRY DR, CESSNOCK NSW 2325",-32.8187895,151.3511533
"418-424 LIVERPOOL RD, CROYDON NSW 2132",-33.8880387,151.1151108
"780 Main Rd, EDGEWORTH NSW 2285",-32.9243706,151.6155016
"No 6 Main Road, Boolaroo NSW 2284",-32.9505105,151.6236396
"198 Hill End Road, Doonside NSW 2767",-33.7471675,150.8720072
"615-617 Hume Hwy, CASULA NSW 2170",-33.9548486,150.8959779
"368 Anzac Parade, Kingsford NSW 2032",-33.9198458,151.2269693
"846 THE HORSLEY DRIVE, SMITHFIELD NSW 2164",-33.8514669,150.9257259
"57 CENTRAL COAST HWY, WEST GOSFORD NSW 2250",-33.4266718,151.3288813
"215 Kinghorne St, NOWRA NSW 2541",-34.8907243,150.6012047
"867-869 South Dowling Street, Waterloo NSW 2017",-33.9016878,151.2145244
"59 THE CRESCENT, TOONGABBIE NSW 2146",-33.7960337,150.9297833
"928-930 KING GEORGES RD, BLAKEHURST NSW 2221",-33.9810765,151.1083833
"531 - 537 Glebe Road & Bryant Street, Adamstown NSW 2289",-32.9350044,151.7297051
"9 Davies Rd, Padstow NSW 2211",-33.9471127,151.0373012
"99 Tweed Coast Rd, Hastings Point NSW 2489",-28.3691694,153.5726116
"190 WATERLOO RD, GREENACRE NSW 2190",-33.9064146,151.0570746
"112 Minjungbal Dr, TWEED HEADS SOUTH NSW 2486",-28.2061256,153.5449981
"198 FIFTEENTH AV, WEST HOXTON NSW 2171",-33.921347,150.8316163
"12B Oatley Parade, Oatley NSW 2223",-33.9808629,151.0793306
"15 BARRIER ST, FYSHWICK ACT 2609",-35.3294132,149.1723701
"172-174 PRINCES HWY, ALBION PARK RAIL NSW 2527",-34.5612131,150.7955669
"629-631 Hume Highway, CASULA NSW 2170",-33.9555236,150.8927243
"21 Maitland Road, Hexham NSW 2322",-32.8470343,151.6931438
"465 Guinea St (Cnr David St), Albury NSW 2640",-36.0749812,146.9212748
"593 Main Rd, Glendale NSW 2285",-32.9270762,151.6380614
"273 Old Hume Highway, Camden NSW 2570",-34.0861431,150.6947
"884-888 Hume Hwy (Cnr Strickland St), Bass Hill NSW 2197",-33.8996333,150.9975565
"678 The Horsley Drv (Cnr Cumberland Hwy), Smithfield NSW 2164",-33.8536887,150.9400463
"297-299 Bunnerong Road, Pagewood NSW 2035",-33.9407211,151.228436
"320 Polding St, FAIRFIELD WEST NSW 2165",-33.8595072,150.9226666
"253 Princes Hwy, Albion Park Rail NSW 2527",-34.5676088,150.8032644
"1766 Horsley Drive, Horsley Park NSW 2175",-33.8420045,150.8535824
"Cnr Patrick & Watkins Streets, Merewether NSW 2291",-32.9411614,151.758835
"485-487 Smithfield Road, PRAIRIEWOOD NSW 2176",-33.8711037,150.9030071
"48 SURREY AV, GEORGES HALL NSW 2198",-33.9154255,150.9975549
"59 John Street, Singleton NSW 2330",-32.5674843,151.1652398
"941-953 Burke Road, Waterloo NSW 2147",-33.9020433,151.2079903
